(2, 22)  +  (2, 45)  =  (2, 22)
(2, 22)  +  (2, 45)  =  (2, 45)
(2, 22)  +  (4, 2)  =  (2, 22)
(2, 22)  +  (4, 2)  =  (4, 2)
(2, 22)  +  (4, 65)  =  (2, 22)
(2, 22)  +  (4, 65)  =  (4, 65)
(2, 22)  +  (5, 20)  =  (2, 22)
(2, 22)  +  (5, 20)  =  (5, 20)
(2, 22)  +  (5, 47)  =  (2, 22)
(2, 22)  +  (5, 47)  =  (5, 47)
(2, 22)  +  (5, 47)  =  (55, 17)
(2, 22)  +  (6, 25)  =  (2, 22)
(2, 22)  +  (6, 25)  =  (6, 25)
(2, 22)  +  (6, 25)  =  (47, 39)
(2, 22)  +  (6, 42)  =  (2, 22)
(2, 22)  +  (6, 42)  =  (6, 42)
(2, 22)  +  (6, 42)  =  (17, 30)
(2, 22)  +  (7, 22)  =  (2, 22)
(2, 22)  +  (7, 22)  =  (7, 22)
(2, 22)  +  (7, 22)  =  (58, 22)
(2, 22)  +  (7, 45)  =  (2, 22)
(2, 22)  +  (7, 45)  =  (7, 45)
(2, 22)  +  (7, 45)  =  (47, 28)
(2, 22)  +  (11, 20)  =  (2, 22)
(2, 22)  +  (11, 20)  =  (11, 20)
(2, 22)  +  (11, 20)  =  (16, 4)
(2, 22)  +  (11, 47)  =  (2, 22)
(2, 22)  +  (11, 47)  =  (11, 47)
(2, 22)  +  (11, 47)  =  (46, 40)
(2, 22)  +  (12, 23)  =  (2, 22)
(2, 22)  +  (12, 23)  =  (12, 23)
(2, 22)  +  (12, 23)  =  (51, 47)
(2, 22)  +  (12, 44)  =  (2, 22)
(2, 22)  +  (12, 44)  =  (12, 44)
(2, 22)  +  (12, 44)  =  (23, 28)
(2, 22)  +  (13, 23)  =  (2, 22)
(2, 22)  +  (13, 23)  =  (13, 23)
(2, 22)  +  (13, 23)  =  (21, 42)
(2, 22)  +  (13, 44)  =  (2, 22)
(2, 22)  +  (13, 44)  =  (13, 44)
(2, 22)  +  (13, 44)  =  (56, 63)
(2, 22)  +  (14, 2)  =  (2, 22)
(2, 22)  +  (14, 2)  =  (14, 2)
(2, 22)  +  (14, 65)  =  (2, 22)
(2, 22)  +  (14, 65)  =  (14, 65)
(2, 22)  +  (14, 65)  =  (55, 50)
(2, 22)  +  (16, 4)  =  (2, 22)
(2, 22)  +  (16, 4)  =  (16, 4)
(2, 22)  +  (16, 63)  =  (2, 22)
(2, 22)  +  (16, 63)  =  (16, 63)
(2, 22)  +  (16, 63)  =  (21, 25)
(2, 22)  +  (17, 30)  =  (2, 22)
(2, 22)  +  (17, 30)  =  (6, 42)
(2, 22)  +  (17, 30)  =  (17, 30)
(2, 22)  +  (17, 37)  =  (2, 22)
(2, 22)  +  (17, 37)  =  (17, 37)
(2, 22)  +  (17, 37)  =  (49, 2)
(2, 22)  +  (18, 12)  =  (2, 22)
(2, 22)  +  (18, 12)  =  (18, 12)
(2, 22)  +  (18, 55)  =  (2, 22)
(2, 22)  +  (18, 55)  =  (18, 55)
(2, 22)  +  (18, 55)  =  (40, 25)
(2, 22)  +  (21, 25)  =  (2, 22)
(2, 22)  +  (21, 25)  =  (16, 63)
(2, 22)  +  (21, 25)  =  (21, 25)
(2, 22)  +  (21, 42)  =  (2, 22)
(2, 22)  +  (21, 42)  =  (13, 23)
(2, 22)  +  (21, 42)  =  (21, 42)
(2, 22)  +  (23, 28)  =  (2, 22)
