2 , 22
2 , 45
4 , 2
4 , 65
5 , 20
5 , 47
6 , 25
6 , 42
7 , 22
7 , 45
11 , 20
11 , 47
12 , 23
12 , 44
13 , 23
13 , 44
14 , 2
14 , 65
16 , 4
16 , 63
17 , 30
17 , 37
18 , 12
18 , 55
21 , 25
21 , 42
23 , 28
23 , 39
24 , 30
24 , 37
25 , 17
25 , 50
26 , 30
26 , 37
27 , 27
27 , 40
30 , 26
30 , 41
34 , 7
34 , 60
38 , 26
38 , 41
40 , 25
40 , 42
42 , 23
42 , 44
46 , 27
46 , 40
47 , 28
47 , 39
48 , 7
48 , 60
49 , 2
49 , 65
51 , 20
51 , 47
52 , 7
52 , 60
53 , 12
53 , 55
54 , 17
54 , 50
55 , 17
55 , 50
56 , 4
56 , 63
58 , 22
58 , 45
61 , 27
61 , 40
62 , 4
62 , 63
63 , 12
63 , 55
64 , 28
64 , 39
66 , 26
66 , 41
